tumour_acronym,studyId,studyName,geneSymbol,entrezGeneId,N,mut_n,mut_freq,amp_n,amp_freq,gain_n,gain_freq,shallow_del_n,shallow_del_freq,deep_del_n,deep_del_freq,any_cna_n,any_cna_freq,any_alter_n,any_alter_freq,mut_only_n,cna_only_n,mut_and_cna_n
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",SF3A1,10291,36,0,0.0,1,0.027777777777777776,5,0.1388888888888889,6,0.16666666666666666,0,0.0,12,0.3333333333333333,12,0.3333333333333333,0,12,0
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",U2AF1,7307,36,0,0.0,0,0.0,4,0.1111111111111111,15,0.4166666666666667,0,0.0,19,0.5277777777777778,19,0.5277777777777778,0,19,0
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",U2AF2,11338,36,0,0.0,0,0.0,7,0.19444444444444445,4,0.1111111111111111,0,0.0,11,0.3055555555555556,11,0.3055555555555556,0,11,0
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",SRSF2,6427,36,0,0.0,0,0.0,8,0.2222222222222222,2,0.05555555555555555,0,0.0,10,0.2777777777777778,10,0.2777777777777778,0,10,0
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",ZRSR2,8233,36,0,0.0,0,0.0,1,0.027777777777777776,16,0.4444444444444444,0,0.0,17,0.4722222222222222,17,0.4722222222222222,0,17,0
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",RBM10,8241,36,0,0.0,0,0.0,1,0.027777777777777776,17,0.4722222222222222,0,0.0,18,0.5,18,0.5,0,18,0
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",PRPF8,10594,36,0,0.0,0,0.0,4,0.1111111111111111,11,0.3055555555555556,0,0.0,15,0.4166666666666667,15,0.4166666666666667,0,15,0
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",LUC7L2,51631,36,0,0.0,0,0.0,5,0.1388888888888889,5,0.1388888888888889,0,0.0,10,0.2777777777777778,10,0.2777777777777778,0,10,0
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",DDX3X,1654,36,0,0.0,0,0.0,1,0.027777777777777776,17,0.4722222222222222,0,0.0,18,0.5,18,0.5,0,18,0
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",SUGP1,57794,36,0,0.0,0,0.0,4,0.1111111111111111,7,0.19444444444444445,0,0.0,11,0.3055555555555556,11,0.3055555555555556,0,11,0
